date,real_gdp,agriculture,mining,manufacturing,construction,trade,electricity_gas_water,transport_communications,financial_intermediation,public_administration
2010-07-01,668566.5094889859,30899.44326908881,25721.42094501317,128980.6959051364,21801.302529601664,92699.57935565416,10928.80416545911,49866.33440938376,22530.45058995845,27540.47556159687
2010-10-01,668190.0977195739,33050.39182962894,24084.360146049068,131060.26564849204,20908.310291414586,94257.60885330236,10610.354644541994,49565.31518121748,23192.532764022268,27929.87316558047
2011-01-01,662325.5859726951,36789.90995635269,23907.72416454516,121432.83639383192,22642.52314438797,91677.92166975596,11119.028802652469,50160.37094913447,23894.279424891854,28002.34593427232
2011-04-01,766332.9545716126,96796.91702031324,22163.90391417955,136012.85291016358,22631.753358817277,100328.7690709326,10903.662209846216,54473.51492217669,24716.57708106261,28205.06930646272
2011-07-01,711417.3919301049,31511.160965454925,24169.46710439393,138227.8370467791,23914.29214741788,102946.33993489428,11294.286688763292,52450.29317001754,25507.45428055521,28781.408481767623
2011-10-01,703050.4564079925,32714.43019083756,24300.995907096225,135753.5118816086,22522.742466737887,99781.86268157896,11252.030147651432,51726.76446297581,25880.393505892203,28967.290103693667
2012-01-01,672685.9936305042,34318.98493040696,23136.99030476001,120673.3827215106,22923.655844658264,91795.6427247324,11912.514153307417,51067.29403286046,25986.812530551877,29046.283792427574
2012-04-01,730838.2725927759,74014.0418142221,23351.47087448691,128098.39302481068,22210.449451183536,94062.58877423347,11427.575951918285,54149.67142410903,26203.845306199622,29175.623164013214
2012-07-01,703461.6525301962,32049.64779299386,23805.92142712143,132304.66553693588,22502.781808827207,98493.8962267744,11768.686651906395,52759.66340835026,27158.608178359813,29401.128573417074
2012-10-01,706958.0390823188,31021.037433122,23106.515325120174,134868.3935900166,21841.087903725653,99430.32694160935,11538.888043975305,52082.6912576,27994.658938316952,29762.203980467064
2013-01-01,677085.5291731509,36095.57619416162,21980.59464017101,118001.20704499164,22373.07298713568,93060.85156307548,11468.106423798572,51126.63565717908,27086.519430708508,29769.09175095966
2013-04-01,776486.60279942,91073.23400299891,22434.34230137216,133402.9303529572,22507.579735885807,101333.47768842,11469.41679156968,56360.09521200785,27561.305946262622,29904.535353371244
2013-07-01,721458.9442161823,31769.16084167681,22692.13398343136,136116.54181495297,22871.4523765644,101141.7737859964,12086.87443707862,54346.36706618437,27920.76557158467,30240.902883316143
2013-10-01,706597.3450225069,31335.3107023842,22513.594682141804,136181.5495261289,21631.916941617063,97821.76374721376,11849.05343608836,53184.57675523379,27817.271272193637,30570.81960874168
