series_id,title,description,frequency,time_index_start,time_index_end,units,dataset_title,publisher_name,source,theme
154.1_BOS_AIRRES_C_0_0_12,asalariados_priv_buenos_aires,Asalariados. Sector privado. Provincia de Buenos Aires.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_CABA_C_0_0_4,asalariados_priv_caba,Asalariados. Sector privado. Ciudad Autónoma de Buenos Aires.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_CIENTESTES_C_0_0_10,asalariados_priv_corrientes,Asalariados. Sector privado. Provincia de Corrientes.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_CMARCARCA_C_0_0_9,asalariados_priv_catamarca,Asalariados. Sector privado. Provincia de Catamarca.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_COACO_C_0_0_5,asalariados_priv_chaco,Asalariados. Sector privado. Provincia de Chaco.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_COBAOBA_C_0_0_7,asalariados_priv_cordoba,Asalariados. Sector privado. Provincia de Córdoba.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_CUTBUT_C_0_0_6,asalariados_priv_chubut,Asalariados. Sector privado. Provincia de Chubut.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_EE_RIOSIOS_C_0_0_10,asalariados_priv_entre_rios,Asalariados. Sector privado. Provincia de Entre Ríos.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_FOSAOSA_C_0_0_7,asalariados_priv_formosa,Asalariados. Sector privado. Provincia de Formosa.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_JYJUY_C_0_0_5,asalariados_priv_jujuy,Asalariados. Sector privado. Provincia de Jujuy.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_LAMPAMPA_C_0_0_8,asalariados_priv_la_pampa,Asalariados. Sector privado. Provincia de La Pampa.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_LIOJAOJA_C_0_0_8,asalariados_priv_la_rioja,Asalariados. Sector privado. Provincia de La Rioja.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_MONESNES_C_0_0_8,asalariados_priv_misiones,Asalariados. Sector privado. Provincia de Misiones.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_MOZAOZA_C_0_0_7,asalariados_priv_mendoza,Asalariados. Sector privado. Provincia de Mendoza.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_NUENUEN_C_0_0_7,asalariados_priv_neuquen,Asalariados. Sector privado. Provincia de Neuquén.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_RNEGROGRO_C_0_0_9,asalariados_priv_rio_negro,Asalariados. Sector privado. Provincia de Río Negro.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SALTA_C_0_0_5,asalariados_priv_salta,Asalariados. Sector privado. Provincia de Salta.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SA_CRUZRUZ_C_0_0_10,asalariados_priv_santa_cruz,Asalariados. Sector privado. Provincia de Santa Cruz.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SA_FE_FE_C_0_0_8,asalariados_priv_santa_fe,Asalariados. Sector privado. Provincia de Santa Fé.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SIAGO_EERO_C_0_0_15,asalariados_priv_santiago_estero,Asalariados. Sector privado. Provincia de Santiago del Estero.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SJUANUAN_C_0_0_8,asalariados_priv_san_juan,Asalariados. Sector privado. Provincia de San Juan.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
154.1_SLUISUIS_C_0_0_8,asalariados_priv_san_luis,Asalariados. Sector privado. Provincia de San Luis.,R/P1M,2009-01-01,2026-05-01,Miles de personas,"Asalariados registrados del sector privado, por provincia.",Subsecretaría de Programación Macroeconómica,"Secretaría de Trabajo, Empleo y Seguridad Social, Ministerio de Capital Humano",Empleo e Ingresos
